respondent_id,year,role,city,zip,nearest_intersection,distance_to_campus_miles,trips_per_week,weeks_per_year,share_drive,share_carpool,share_bus,share_walk,share_bike,share_tele,mode_primary,is_ev_user,is_ebike_user,mtcde_est,total_trips_est,state,lat,lng
F_2021-22_00104,2021,Faculty,Blue Lake,95500,South Rail St & Hatchery Rd,9.63,9,36,0.44,0.0,0.11,0.11,0.11,0.22,Drive Alone,False,False,0.58,325,California,40.87907,-123.99185
F_2024-25_00271,2024,Faculty,Fortuna,95540,Main St & Kenmar Rd,20.56,9,37,0.72,0.0,0.0,0.14,0.0,0.14,Drive Alone,False,False,0.99,349,California,40.5774879,-124.1398112
S_2024-25_00154,2024,Staff/Admin,Trinidad,95570,Patrick Point Dr & Trinity St,11.82,10,48,0.8,0.1,0.0,0.0,0.0,0.1,Drive Alone,False,False,2.98,486,California,41.059999,-124.1431428
S_2024-25_00197,2024,Student,Eureka,95501,I St & K St,8.61,10,32,0.5,0.1,0.1,0.2,0.0,0.1,Drive Alone,False,False,2.73,315,California,40.793227,-124.158087
S_2022-23_00708,2022,Student,McKinleyville,95519,Murray Rd & Bates Rd,13.89,10,32,0.4,0.1,0.1,0.4,0.0,0.0,Drive Alone,False,True,4.61,332,California,40.9565052,-124.0884417
F_2020-21_00048,2020,Faculty,Arcata,95521,14th St & Alliance Rd,0.49,6,34,0.17,0.0,0.0,0.17,0.17,0.5,Telecommute,False,True,0.04,192,California,40.883424,-124.090753
S_2023-24_00496,2023,Student,Trinidad,95570,Trinity St & Edwards St,10.44,10,32,0.3,0.3,0.1,0.3,0.0,0.0,Drive Alone,False,False,2.72,326,California,41.0584764,-124.1431509
S_2022-23_00188,2022,Student,Eureka,95501,K St & Harris St,10.2,10,30,0.3,0.1,0.2,0.2,0.2,0.0,Drive Alone,False,False,2.19,297,California,40.7803619,-124.157878
S_2021-22_00554,2021,Student,Arcata,95521,Union St & H St,1.37,9,30,0.38,0.0,0.24,0.27,0.05,0.05,Walk,False,False,0.35,258,California,40.8681944,-124.0778679
S_2020-21_00177,2020,Student,Arcata,95521,Samoa Blvd & G St,2.37,5,28,0.42,0.0,0.26,0.21,0.0,0.11,Walk,False,False,0.12,134,California,40.8649389,-124.087213
S_2022-23_00578,2022,Student,Fortuna,95540,Main St & Newburg Rd,24.51,10,32,0.4,0.1,0.1,0.2,0.1,0.1,Drive Alone,False,False,3.77,313,California,40.5928289,-124.1397633
S_2024-25_00145,2024,Staff/Admin,Arcata,95521,Alliance Rd & G St,0.42,11,48,0.73,0.09,0.0,0.0,0.0,0.18,Drive Alone,False,False,0.65,544,California,40.883424,-124.090753
S_2020-21_00401,2020,Student,Fortuna,95540,Rohnerville Rd & Kenmar Rd,21.43,7,28,0.14,0.0,0.0,0.29,0.14,0.43,Telecommute,False,False,0.96,189,California,40.57392780000001,-124.1279616
S_2024-25_00071,2024,Staff/Admin,McKinleyville,95519,Murray Rd & School Rd,12.18,10,52,0.7,0.1,0.0,0.1,0.0,0.1,Drive Alone,False,False,3.2,529,California,40.9565052,-124.0884417
F_2023-24_00315,2023,Faculty,Eureka,95501,I St & 6th St,10.34,10,39,0.6,0.1,0.0,0.1,0.1,0.1,Drive Alone,False,False,0.96,406,California,40.8015495,-124.1624951
S_2021-22_00191,2021,Staff/Admin,Arcata,95521,H St & G St,0.88,8,47,0.63,0.12,0.0,0.12,0.0,0.12,Drive Alone,False,False,0.4,358,California,40.861525,-124.0885001
S_2021-22_00107,2021,Student,Fortuna,95540,Rohnerville Rd & Main St,26.31,9,29,0.46,0.0,0.29,0.13,0.0,0.13,Drive Alone,False,False,2.83,265,California,40.5963869,-124.1456576
S_2024-25_00455,2024,Student,Arcata,95521,14th St & G St,1.42,11,30,0.36,0.09,0.0,0.36,0.09,0.09,Walk,False,False,0.71,324,California,40.8727689,-124.0842593
S_2023-24_00225,2023,Student,Fortuna,95540,Kenmar Rd & Newburg Rd,20.37,10,32,0.3,0.1,0.2,0.2,0.2,0.0,Drive Alone,False,True,3.61,321,California,40.5931202,-124.1389979
S_2020-21_00453,2020,Student,McKinleyville,95519,Bates Rd & Central Ave,7.23,-10,52,0.17,0.17,0.0,0.17,0.17,0.33,Telecommute,False,False,0.65,180,California,40.9483062,-124.1009696
S_2020-21_00080,2020,Student,Eureka,95501,Myrtle Ave & 6th St,7.09,6,27,0.17,0.0,0.0,0.33,0.0,0.5,Telecommute,False,False,0.26,154,California,40.80282950000001,-124.152979
S_2021-22_00281,2021,Staff/Admin,Blue Lake,95525,Greenwood Ave & South Rail St,12.36,9,46,0.67,0.11,0.0,0.0,0.0,0.22,Drive Alone,False,True,2.22,390,California,40.8843524,-123.9910897
S_2023-24_00132,2023,Staff/Admin,Trinidad,95570,Patrick Point Dr & Main St,12.38,11,46,0.73,0.09,0.0,0.09,0.0,0.09,Drive Alone,False,False,2.9,498,California,41.061808,-124.1399422
S_2024-25_00236,2024,Staff/Admin,McKinleyville,95519,Bates Rd & School Rd,6.31,10,46,0.8,0.1,0.0,0.0,0.0,0.1,Drive Alone,False,False,1.59,478,California,40.9343124,-124.1142713
S_2022-23_00437,2022,Student,McKinleyville,95519,Hiller Rd & Bates Rd,9.08,11,30,0.45,0.18,0.09,0.18,0.09,0.0,Drive Alone,True,False,2.96,328,California,40.9416402,-124.1141313
S_2021-22_00166,2021,Student,McKinleyville,95519,Murray Rd & Bates Rd,6.29,8,30,0.39,0.12,0.12,0.12,0.12,0.12,Drive Alone,False,False,1.3,250,California,40.9565052,-124.0884417
S_2022-23_00639,2022,Student,McKinleyville,95519,Bates Rd & Central Ave,7.93,10,31,0.4,0.1,0.1,0.2,0.0,0.2,Drive Alone,False,True,2.16,300,California,40.9483062,-124.1009696
S_2024-25_00053,2024,Staff/Admin,Eureka,95501,I St & 5th St,7.58,10,46,0.89,0.0,0.0,0.0,0.0,0.11,Drive Alone,False,False,1.85,466,California,40.8023871,-124.1626949
S_2023-24_00263,2023,Staff/Admin,Fortuna,95540,Newburg Rd & Kenmar Rd,23.3,12,50,0.67,0.08,0.0,0.0,0.17,0.08,Drive Alone,False,False,3.86,585,California,40.5931202,-124.1389979
F_2020-21_00183,2020,Faculty,McKinleyville,95519,Bates Rd & Central Ave,13.08,6,33,0.17,0.0,0.0,0.0,0.33,0.5,Telecommute,False,False,0.21,197,California,40.9483062,-124.1009696
S_2021-22_00101,2021,Staff/Admin,Eureka,95501,I St & Harris St,7.65,-10,52,0.78,0.11,0.0,0.0,0.0,0.11,Drive Alone,False,True,1.66,420,California,40.7803861,-124.160188
F_2022-23_00015,2022,Faculty,Fortuna,95540,Rohnerville Rd & Kenmar Rd,19.39,10,37,0.62,0.0,0.0,0.25,0.0,0.13,Drive Alone,False,False,0.86,374,California,40.57392780000001,-124.1279616
S_2023-24_00134,2023,Student,Fortuna,95540,Newburg Rd & Kenmar Rd,22.66,9,31,0.33,0.11,0.11,0.22,0.11,0.11,Drive Alone,False,False,3.24,287,California,40.5931202,-124.1389979
F_2024-25_00046,2024,Faculty,McKinleyville,95519,Central Ave & Murray Rd,8.77,10,37,0.6,0.1,0.0,0.1,0.1,0.1,Drive Alone,False,True,0.75,357,California,40.9562652,-124.1008478
S_2022-23_00214,2022,Student,Eureka,95503,Harris St & J St,6.17,10,31,0.4,0.1,0.1,0.2,0.1,0.1,Drive Alone,False,False,1.81,308,California,40.7803675,-124.1590166
F_2023-24_00132,2021,Faculty,Fortuna,95540,Kenmar Rd & Rohnerville Rd,-5.0,10,39,0.5,0.1,0.0,0.1,0.1,0.2,Drive Alone,False,False,0.82,372,California,40.57392780000001,-124.1279616
S_2020-21_00101,2020,Student,Blue Lake,0,South Rail St & Greenwood Ave,7.08,-10,52,0.69,0.0,0.0,0.15,0.0,0.15,Telecommute,False,False,0.44,165,California,40.8840735,-123.9911559
S_2024-25_00139,2024,Student,Blue Lake,95525,Hatchery Rd & Chartin Rd,12.1,10,30,0.4,0.0,0.1,0.3,0.1,0.1,Drive Alone,False,False,3.15,317,California,40.87907,-123.99185
S_2022-23_00224,2022,Student,Trinidad,95570,Edwards St & Main St,12.96,-10,52,0.73,0.05,0.0,0.11,0.05,0.05,Drive Alone,False,False,3.36,295,California,41.0613826,-124.1408696
F_2020-21_00098,2020,Faculty,Eureka,95501,J St & 5th St,8.96,6,34,0.33,0.0,0.0,0.17,0.0,0.5,Telecommute,True,False,0.16,186,California,40.8025366,-124.1615871
S_2020-21_00010,2020,Staff/Admin,McKinleyville,95519,School Rd & Murray Rd,9.68,-10,52,0.75,0.0,0.0,0.0,0.0,0.25,Drive Alone,False,False,0.75,274,California,40.9565052,-124.0884417
F_2024-25_00127,2024,Faculty,Blue Lake,95525,Greenwood Ave & Chartin Rd,13.4,-10,52,0.55,0.09,0.0,0.18,0.09,0.09,Drive Alone,True,True,1.03,423,California,40.8843524,-123.9910897
S_2020-21_00333,2021,Student,Eureka,95501,Myrtle Ave & H St,10.96,6,30,0.53,0.0,0.18,0.18,0.0,0.12,Telecommute,False,True,0.92,187,California,40.7946665,-124.1361954
S_2020-21_00319,2020,Student,Eureka,95501,I St & 5th St,8.27,6,29,0.15,0.0,0.0,0.28,0.15,0.43,Telecommute,False,False,0.44,179,California,40.8023871,-124.1626949
