latitude,longitude,address,driving_time_to_campus,walking_time_to_campus,bicycling_time_to_campus,transit_time_to_campus
40.05999999999999,-123.79999999999964,"356X+2X Benbow, CA, USA",1 hour 27 mins,1 day 13 hours,11 hours 18 mins,3 hours 26 mins
40.05999999999999,-123.78999999999964,"3666+22 Benbow, CA, USA",1 hour 31 mins,1 day 13 hours,11 hours 19 mins,3 hours 24 mins
40.05999999999999,-123.77999999999963,"3669+2X Benbow, CA, USA",1 hour 22 mins,1 day 13 hours,11 hours 15 mins,3 hours 10 mins
40.05999999999999,-123.76999999999963,"366J+22 Benbow, CA, USA",1 hour 27 mins,1 day 13 hours,11 hours 20 mins,3 hours 30 mins
40.069999999999986,-123.80999999999965,"359R+X2 Garberville, CA, USA",1 hour 27 mins,1 day 13 hours,11 hours 20 mins,9 hours 41 mins
40.069999999999986,-123.79999999999964,"359X+XX Benbow, CA, USA",1 hour 26 mins,1 day 13 hours,11 hours 17 mins,3 hours 19 mins
40.069999999999986,-123.78999999999964,"150 Mountain View Dr, Garberville, CA 95542, USA",1 hour 22 mins,1 day 13 hours,11 hours 16 mins,3 hours 10 mins
40.069999999999986,-123.77999999999963,"165 Mosswood Ln, Garberville, CA 95542, USA",1 hour 24 mins,1 day 13 hours,11 hours 16 mins,3 hours 15 mins
40.069999999999986,-123.76999999999963,"910 E Branch Rd, Garberville, CA 95542, USA",1 hour 26 mins,1 day 12 hours,11 hours 3 mins,3 hours 34 mins
40.079999999999984,-123.79999999999964,"35HX+XX Benbow, CA, USA",1 hour 25 mins,1 day 13 hours,11 hours 24 mins,3 hours 32 mins
40.079999999999984,-123.78999999999964,"US-101, Garberville, CA 95542, USA",1 hour 17 mins,1 day 12 hours,10 hours 59 mins,2 hours 15 mins
40.079999999999984,-123.77999999999963,"36H9+XX Benbow, CA, USA",1 hour 23 mins,1 day 13 hours,11 hours 13 mins,3 hours 13 mins
40.079999999999984,-123.76999999999963,"36HJ+X2 Benbow, CA, USA",1 hour 48 mins,1 day 12 hours,10 hours 55 mins,8 hours 31 mins
40.08999999999998,-123.80999999999965,"101 Old Briceland Rd, Garberville, CA 95542, USA",1 hour 24 mins,1 day 13 hours,11 hours 15 mins,2 hours 56 mins
40.08999999999998,-123.79999999999964,"35RX+2X Garberville, CA, USA",1 hour 22 mins,1 day 13 hours,11 hours 10 mins,2 hours 34 mins
40.08999999999998,-123.78999999999964,"36R6+22 Garberville, CA, USA",1 hour 18 mins,1 day 12 hours,11 hours 8 mins,2 hours 26 mins
40.08999999999998,-123.77999999999963,"36R9+2X Benbow, CA, USA",1 hour 18 mins,1 day 12 hours,10 hours 54 mins,5 hours 16 mins
40.09999999999998,-123.80999999999965,"35XR+X2 Garberville, CA, USA",1 hour 29 mins,1 day 13 hours,11 hours 24 mins,3 hours 21 mins
