respondent_id,year,role,city,zip,nearest_intersection,distance_to_campus_miles,trips_per_week,weeks_per_year,share_drive,share_carpool,share_bus,share_walk,share_bike,share_tele,mode_primary,is_ev_user,is_ebike_user,mtcde_est,total_trips_est
F_2021-22_00104,2021-22,Faculty,Blue Lake,95525,South Rail St & Hatchery Rd,9.63,9,36,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,Drive alone,False,False,0.5805470727955394,325.0
F_2024-25_00271,2024-25,Faculty,Fortuna,95540,Main St & Kenmar Rd,20.56,9,37,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,Drive alone,False,False,0.9879770302891752,348.7
S_2024-25_00154,2024-25,Staff/Admin,Trinidad,95570,Patrick Point Dr & Trinity St,11.82,10,48,0.8,0.1,0.0,0.0,0.0,0.1,Drive alone,False,False,2.982529788959406,486.0
S_2024-25_00197,2024-25,Student,Eureka,95501,I St & K St,8.61,10,32,0.5,0.1,0.1,0.2,0.0,0.1,Drive alone,False,False,2.7346671838212275,315.0
S_2022-23_00708,2022-23,Student,McKinleyville,95519,Murray Rd & Bates Rd,13.89,10,32,0.4,0.1,0.1,0.4,0.0,0.0,Drive alone,False,True,4.611657072088623,332.2
F_2020-21_00048,2020-21,Faculty,Arcata,95521,14th St & Alliance Rd,0.49,6,34,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.5,Telecommute,False,True,0.0369160063391442,191.9
S_2023-24_00496,2023-24,Student,Trinidad,95570,Trinity St & Edwards St,10.44,10,32,0.3,0.3,0.1,0.3,0.0,0.0,Drive alone,False,False,2.715472992283509,326.3
S_2022-23_00188,2022-23,Student,Eureka,95501,K St & Harris St,10.2,10,30,0.3,0.1,0.2,0.2,0.2,0.0,Drive alone,False,False,2.190158276514378,297.2
S_2021-22_00554,2021-22,Student,Arcata,95521,Union St & H St,1.37,9,30,0.2222222222222222,-0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.1111111111111111,Walk,False,False,0.3505465507151702,257.8
S_2020-21_00177,2020-21,Student,Arcata,95521,Samoa Blvd & G St,2.37,5,28,0.4,0.0,0.0,0.4,0.0,0.2,Walk,False,False,0.1237520243879203,133.6
