SPCD,DO_BH,HT_TOT,TT_DW_CRM
12,7.5,45.2,178.86
12,9.3,62.7,323.46
12,9.7,56.7,342.47
12,11.4,66.1,499.35
12,6.4,51.8,113.92
129,18.7,87.8,1904.79
129,23.1,95.6,3010.87
261,9.2,73.9,381.45
261,8.7,71.4,355.57
261,16.8,92.6,1705.29
316,8.6,81.3,536.36
316,8.6,70.5,398.58
316,8.8,57.5,420.67
316,9.3,82.7,566.74
316,9.9,61.2,561.19
316,10.2,80.8,694.78
316,11.1,77.6,821.67
316,11.8,79.7,960.72
316,13.7,79.4,1077.36
316,15.6,83.8,1626.91
316,16.6,86.3,1800.78
318,10.2,79.2,860.05
318,16.8,84.7,2477.69
318,17,81.4,2372.35
318,12.6,82.9,1195.19
318,16.6,93,2469.81
371,5.5,51,173.43
371,9.2,65,563.58
541,11.5,84.6,996.24
541,12.1,87.7,1096.35
543,10.8,81.9,809.28
543,10.8,84.6,769.59
543,15.4,91,1638.31
543,16.5,106.3,1961.56
543,22.8,105.4,3834.48
743,8.3,88.6,391.97
743,10.6,93.2,651.38
743,8.3,88.3,404.13
743,9,87.2,431.48
743,9.9,89,580.2
743,12.2,90.6,820.52
746,5.7,58.9,116.69
746,7.5,77.1,285.21
746,8.7,68.1,349.06
746,8.8,89.1,420.78
746,10.9,72.6,596.83
746,11.4,69.9,587.47
833,19.1,71.8,2713.48
833,20.8,79.8,3446.63
951,17.3,88.2,1473.18
951,18.2,102.5,1796.52
951,21.2,93,2313.81
951,21.7,106.2,2709.84
105,9.1,52,311.39
105,10.7,58,482.76
105,14.8,63,947.34
105,11.3,58,513.21
105,12.9,64,766.61
125,23.2,79.2,2626.39
125,21.4,76,2222.34
125,22.1,72,2188.13
129,7,52,153.7
129,7.2,41.6,149.43
129,5.2,41,61.49
129,6.5,51.3,142.07
129,12.2,62,612.41
129,12.3,69.4,642.51
129,13.2,68.8,773.87
129,16,59,949.7
129,16,73.6,1129.41
12,9.1,57.1,281.48
12,7,51.3,160.34
12,7.2,58,185.32
