,SPCD,DO_BH,HT_TOT,TT_DW_CRM
29240,121,6.4,46.8,173.72
10576,131,4.7,37.5,57.16
38089,121,8.4,43.0,298.13
94726,999,1.1,10.8,2.04
22059,131,14.6,77.6,1428.85
25783,731,13.2,84.6,1121.27
35821,111,5.0,44.0,82.11
53677,132,7.9,46.0,271.12
29620,970,26.1,92.0,5374.24
74249,832,7.0,35.0,186.65
134336,802,25.8,100.0,6415.84
117806,999,3.8,20.3,43.51
11922,131,10.9,83.6,852.03
70842,611,8.5,45.0,262.27
101381,747,2.3,29.8,6.64
19741,131,8.0,68.0,366.16
116075,831,17.0,94.8,2716.99
119454,833,11.2,77.8,1072.87
133221,318,25.6,78.1,5570.43
70576,802,18.0,86.0,2895.71
76985,263,11.8,95.0,1224.06
114102,111,4.9,37.3,75.15
84060,202,7.8,29.5,160.28
34445,121,10.5,63.0,709.39
119368,835,14.0,58.6,1232.23
130689,602,16.7,69.8,1523.61
56285,531,16.0,81.0,1857.62
52922,68,9.5,44.0,341.84
32451,108,13.3,65.8,873.19
15192,837,13.7,85.0,1540.16
106112,129,17.5,114.0,2150.93
60005,111,6.0,46.0,140.84
98251,651,11.4,60.0,727.79
129053,202,16.1,106.9,2189.21
6865,97,6.5,50.0,172.5
70689,833,9.4,72.0,726.92
69145,68,8.2,50.0,312.67
110125,833,9.2,30.0,474.24
130353,123,9.7,46.0,469.76
19298,531,14.0,70.5,1284.96
20067,400,6.8,68.3,355.2
18542,110,18.0,81.0,2381.33
90754,95,9.6,48.8,315.27
42034,121,4.4,52.0,57.84
96203,125,13.6,95.0,1175.13
89990,743,12.7,84.5,821.77
123044,611,8.0,65.0,348.69
107611,122,18.5,56.2,1447.21
66619,131,14.7,83.0,1546.48
52583,131,13.7,81.0,1310.5
125444,131,6.9,59.2,228.91
70838,540,4.0,31.0,54.85
135713,202,16.3,121.8,2714.42
21454,820,10.4,49.0,574.77
79554,531,18.2,84.0,3223.37
123209,316,6.8,54.1,263.0
91944,68,8.6,34.2,232.26
78713,202,12.0,79.0,978.68
94233,802,12.9,59.9,915.16
4272,97,4.9,48.5,63.02
88639,105,6.4,48.5,117.18
89564,318,6.9,67.3,338.21
508,125,8.5,70.1,348.57
68091,611,12.9,62.0,854.05
26830,832,17.7,97.9,3088.95
135949,202,15.5,119.6,2439.89
6818,97,7.1,54.2,219.52
40551,540,10.6,58.0,608.28
92119,68,9.5,38.3,297.35
87170,110,11.3,59.9,692.18
49370,131,6.1,42.0,115.49
32057,131,1.9,19.8,6.41
15267,621,14.4,93.0,1355.97
73279,400,9.7,35.0,352.17
2518,375,10.3,80.0,869.35
70209,110,11.3,63.0,727.5
24147,110,9.2,69.0,522.43
31319,202,17.5,102.0,2597.3
59836,111,5.6,33.0,76.2
74195,126,9.8,48.0,441.12
28921,121,6.7,63.6,275.82
63622,131,5.6,39.0,83.98
74127,833,7.0,75.0,444.87
65590,131,10.0,70.0,599.32
21069,806,19.8,81.5,3610.69
107616,122,21.5,74.5,2765.58
131736,122,10.1,46.7,388.2
119741,132,11.3,66.8,774.81
73657,318,10.0,53.0,561.61
83841,98,25.0,124.3,4494.26
75777,806,10.8,66.0,939.68
35982,107,7.6,47.0,272.17
52259,121,11.7,63.0,882.38
4656,318,27.2,94.0,8582.11
43234,800,1.7,17.0,9.71
94435,837,22.3,68.0,3348.15
59499,111,6.3,29.0,89.64
8777,318,19.0,86.3,3989.4
108394,122,26.2,101.4,5535.31
33765,95,8.6,53.4,293.03
74438,316,1.8,13.0,9.01
86425,93,13.2,83.1,941.73
103736,20,10.9,48.7,393.22
53970,806,9.3,60.0,646.71
70205,110,10.1,65.0,596.22
68725,802,6.8,48.0,306.9
328,125,10.8,68.2,567.38
5743,371,23.1,79.0,5154.78
107483,15,26.5,104.0,4977.42
122882,837,14.1,65.2,1234.13
65425,820,8.8,61.0,522.73
101138,263,4.0,36.0,38.26
94744,202,2.8,20.0,16.36
40973,800,5.6,23.0,73.0
86176,122,5.5,50.0,86.53
110417,110,12.5,61.0,751.65
104732,15,18.1,104.9,2228.28
65089,621,10.1,57.0,433.93
108170,202,6.0,30.3,90.68
43630,111,6.4,45.0,160.6
79312,125,11.5,79.0,764.37
48687,835,6.2,42.0,187.89
45571,762,2.0,19.0,8.4
60897,762,5.9,43.0,124.23
132974,43,10.0,51.2,306.56
4293,97,8.0,55.5,284.03
108235,202,22.9,69.0,2673.03
50506,121,3.3,19.0,28.74
25193,837,16.0,85.1,2075.74
54873,110,6.5,47.0,165.39
8395,371,16.6,89.2,2902.63
129784,202,15.1,114.0,2222.7
89039,125,6.4,46.6,139.54
47033,802,2.5,25.0,20.67
101166,93,2.5,14.4,10.31
44646,121,15.6,73.0,1813.62
94092,746,9.1,66.7,354.1
72324,131,6.8,50.0,183.71
74437,316,6.3,44.0,165.51
37285,111,5.7,40.0,103.72
80474,95,6.7,50.5,168.1
68468,110,8.5,40.0,253.3
116244,742,26.1,137.9,5934.38
48668,621,11.5,77.0,749.75
122633,404,14.0,91.5,1884.53
20825,400,15.4,90.6,2315.03
36100,131,11.9,80.0,974.33
118754,837,22.0,89.8,3640.96
13858,833,7.0,71.0,421.23
95684,105,4.5,27.2,44.14
104190,20,16.8,89.3,1722.25
91452,746,11.0,74.1,570.22
78622,122,15.0,85.0,1300.65
80741,375,12.8,65.5,961.02
123023,318,20.5,92.7,4102.5
4874,371,16.0,75.0,2388.66
70294,832,16.4,67.0,1843.11
123857,611,7.2,37.0,143.22
13462,540,1.6,23.0,5.65
54814,621,7.7,82.0,375.84
130002,128,6.7,44.0,172.9
11699,110,6.1,54.0,167.03
29268,121,18.3,75.5,2578.78
133516,407,14.4,78.8,2341.64
37209,838,12.1,62.0,1089.73
111094,316,10.5,58.5,760.47
79494,371,15.4,74.0,1878.83
105334,111,8.9,66.0,505.94
122324,121,13.9,88.0,1727.09
136695,131,7.8,59.7,302.44
93024,125,5.1,50.0,83.16
63898,110,7.1,42.0,178.72
129814,126,11.8,48.0,634.56
130113,107,6.2,41.0,152.29
4906,371,19.6,76.0,3631.33
102721,20,20.3,67.5,1682.31
105544,131,6.7,56.0,201.51
71522,132,8.1,45.0,279.19
36448,827,4.0,37.0,65.45
30853,131,20.0,81.6,2824.31
106675,122,36.8,105.3,11334.94
95803,105,4.2,32.5,37.36
77407,122,7.2,39.6,138.02
125470,131,5.4,44.5,90.43
70800,132,7.0,56.0,257.61
66085,837,19.8,72.0,2655.84
