,SPCD,DO_BH,HT_TOT,TT_DW_CRM
129305,746,2.8,34.8,18.37
10245,131,5.4,51.0,107.64
106407,122,13.6,55.0,760.12
90476,833,20.0,81.8,3062.34
49791,400,6.6,41.0,185.75
112549,111,3.8,34.0,40.49
7486,318,17.0,78.7,2998.65
114933,81,22.8,81.0,2047.73
47721,111,7.3,55.0,272.53
101452,747,2.5,38.5,8.06
82599,263,15.6,88.4,1611.3
40203,111,7.9,57.0,336.71
36856,121,11.8,75.0,1064.61
53373,621,18.7,94.0,2236.98
31282,202,12.2,88.5,1208.05
136204,202,27.0,140.9,7468.35
61694,611,7.7,61.0,300.43
90729,94,13.2,72.2,840.44
30338,827,14.6,83.1,1780.65
117840,802,6.0,62.7,320.89
85392,202,25.3,85.0,3971.01
64454,261,27.6,126.0,6248.78
57403,90,8.7,38.0,215.7
69623,621,10.2,75.0,584.85
114576,125,11.2,59.8,602.48
71777,491,5.3,30.0,90.02
34053,107,6.4,61.0,248.37
108018,202,10.2,47.2,375.14
131285,105,8.9,60.1,311.32
41172,107,1.2,15.0,2.66
113701,131,9.9,51.6,433.08
108377,122,33.0,106.5,9211.17
79137,110,16.7,100.0,2513.62
66879,802,9.6,57.0,640.82
111797,95,6.8,31.5,129.1
81953,42,7.1,27.0,118.27
58965,694,9.5,60.0,475.81
105050,111,13.1,69.0,1160.5
87082,121,9.1,46.0,388.3
80458,94,6.3,56.6,150.47
129836,126,10.7,36.0,447.54
132405,375,6.1,45.2,174.27
76447,263,12.7,57.6,841.73
76099,370,5.3,37.0,130.57
90002,743,14.0,68.3,819.01
123040,316,7.9,57.5,324.19
70781,132,6.9,43.0,192.28
106949,122,12.6,35.5,429.01
130460,110,7.7,59.7,209.34
80487,95,6.4,53.8,151.17
1842,131,9.6,80.0,630.03
101705,19,3.1,23.6,18.61
88899,125,7.2,50.4,196.51
12235,131,9.3,57.3,422.2
73950,521,6.7,44.0,231.42
103224,15,13.9,56.8,749.79
10656,131,7.3,42.5,180.62
29800,611,12.2,84.9,1052.99
20565,621,19.2,109.9,2737.4
9816,202,7.5,44.6,218.91
101014,242,2.0,12.1,8.42
126624,132,4.3,28.0,59.5
123924,812,10.5,62.3,703.65
86564,122,20.1,65.4,1977.51
96278,125,10.9,87.9,692.71
91037,105,11.7,58.6,515.68
51276,731,15.3,85.0,1453.82
51252,825,6.9,50.0,316.66
9698,17,2.3,15.9,8.99
32942,12,12.1,64.4,654.41
63999,835,7.3,50.0,310.94
16821,827,8.7,51.0,437.67
57543,370,8.6,84.0,581.75
39773,694,13.0,55.0,784.84
98327,806,10.9,69.7,1048.72
98091,318,5.5,57.0,202.19
129466,202,9.4,66.0,531.71
126343,131,18.0,88.2,2463.58
75834,531,16.9,89.0,2243.54
44412,121,9.7,65.0,623.35
133244,129,17.0,45.1,1117.75
91383,743,12.8,90.5,878.89
78112,122,12.8,80.0,902.95
56517,129,1.2,11.0,2.08
10854,131,5.0,42.9,69.39
42378,111,4.0,29.0,45.87
129185,202,6.9,51.4,193.31
32889,833,15.4,57.5,1751.25
126021,131,6.4,46.8,147.75
36457,838,2.9,21.0,27.88
77815,93,12.0,67.0,631.99
99446,91,13.2,73.0,785.88
61968,802,14.4,56.5,1264.38
27695,131,17.2,85.8,2189.61
72924,400,5.7,35.0,107.05
78007,122,15.8,58.0,1176.23
98733,540,16.5,94.4,2709.31
105752,131,15.5,95.0,1961.64
78659,122,23.1,133.0,4674.04
6676,97,8.1,58.5,304.3
90232,746,13.3,75.1,793.08
22410,901,20.4,92.4,3196.27
75228,762,7.5,69.0,340.36
136923,131,6.0,48.6,132.1
115990,822,9.5,44.7,477.73
